STATE_FIPS,ZONE,FIPS
13,133,13161
13,134,13005
13,135,13001
13,136,13305
13,137,13183
13,138,13179
13,139,13179
13,139,13179
13,140,13191
13,141,13191
13,141,13191
13,142,13099
13,143,13201
13,144,13007
13,145,13205
13,146,13071
13,147,13075
13,148,13019
13,149,13003
13,151,13229
13,152,13025
13,153,13127
13,154,13127
13,155,13253
13,156,13087
13,156,13087
13,157,13131
13,158,13275
13,159,13027
13,160,13185
13,161,13173
13,162,13101
13,163,13065
13,165,13039
13,166,13039
13,250,13299
13,264,13049
13,350,13299
13,364,13049
66,1,66010
69,2,69100
69,3,69120
69,4,69110
69,5,69085
15,1,15007
15,2,15007
15,3,15007
15,4,15007
15,5,15003
15,6,15003
15,7,15003
15,8,15003
15,9,15003
15,10,15003
15,11,15003
15,12,15009
15,13,15009
15,14,15009
15,15,15009
15,16,15009
15,17,15009
15,18,15009
15,19,15009
15,20,15009
15,21,15009
15,22,15009
15,23,15001
15,24,15001
15,25,15001
15,26,15001
15,27,15001
15,28,15001
19,1,19119
19,2,19143
19,3,19059
19,4,19063
19,5,19109
19,6,19189
19,7,19195
19,8,19131
19,9,19089
19,10,19191
19,11,19005
19,12,19167
19,13,19141
19,14,19041
19,15,19147
19,16,19081
19,17,19033
19,18,19067
19,19,19037
19,20,19149
19,21,19035
19,22,19021
19,23,19151
19,24,19091
19,25,19197
19,26,19069
19,27,19023
19,28,19017
19,29,19065
19,30,19043
19,31,19193
19,32,19093
19,33,19161
19,34,19025
19,35,19187
19,36,19079
19,37,19083
19,38,19075
19,39,19013
19,40,19019
19,41,19055
19,42,19061
19,43,19133
19,44,19047
19,45,19027
19,46,19073
19,47,19015
19,48,19169
19,49,19127
19,50,19171
19,51,19011
19,52,19113
19,53,19105
19,54,19097
19,55,19085
19,56,19165
19,57,19009
19,58,19077
19,59,19049
19,60,19153
19,61,19099
19,62,19157
19,63,19095
19,64,19103
19,65,19031
19,66,19045
19,67,19139
19,68,19163
19,69,19155
19,70,19029
19,71,19001
19,72,19121
19,73,19181
19,74,19125
19,75,19123
19,76,19107
19,77,19183
19,78,19115
19,79,19129
19,80,19137
19,81,19003
19,82,19175
19,83,19039
19,84,19117
19,85,19135
19,86,19179
19,87,19101
19,88,19087
19,89,19057
19,90,19071
19,91,19145
19,92,19173
19,93,19159
19,94,19053
19,95,19185
19,96,19007
19,97,19051
19,98,19177
19,99,19111
16,1,16017
16,1,16021
16,1,16055
16,2,16055
16,3,16009
16,3,16057
16,4,16009
16,4,16055
16,4,16057
16,4,16079
16,5,16035
16,6,16049
16,7,16035
16,7,16049
16,8,16049
16,9,16059
16,10,16059
16,11,16003
16,11,16045
16,11,16085
16,11,16087
16,12,16027
16,12,16045
16,12,16073
16,12,16075
16,12,16087
16,13,16015
16,13,16025
16,13,16039
16,14,16001
16,14,16039
16,14,16073
16,15,16073
16,16,16047
16,16,16053
16,16,16083
16,26,16069
16,27,16061
16,27,16069
16,28,16025
16,28,16039
16,29,16073
16,30,16083
16,33,16003
16,33,16087
16,51,16013
16,51,16067
16,51,16063
16,52,16023
16,52,16051
16,52,16019
16,52,16011
16,53,16043
16,53,16065
16,53,16051
16,53,16019
16,54,16005
16,54,16077
16,54,16011
16,55,16031
16,55,16067
16,55,16013
16,55,16077
16,56,16031
16,57,16031
16,57,16077
16,57,16071
16,58,16005
16,58,16077
16,58,16029
16,58,16011
16,59,16041
16,59,16071
16,60,16007
16,60,16041
16,60,16029
16,61,16007
16,62,16019
16,62,16029
16,62,16011
16,63,16007
16,63,16029
16,63,16019
16,64,16065
16,64,16081
16,64,16019
16,65,16043
16,65,16065
16,65,16081
16,66,16033
16,66,16043
16,66,16081
16,67,16023
16,67,16033
16,68,16037
16,68,16023
16,69,16037
16,69,16023
16,70,16037
16,71,16037
16,72,16037
16,72,16013
16,73,16037
16,73,16013
16,74,16023
16,74,16013
16,74,16037
16,75,16013
17,1,17085
17,2,17177
17,3,17201
17,4,17007
17,5,17111
17,6,17097
17,7,17015
17,8,17141
17,9,17195
17,10,17103
17,11,17037
17,12,17089
17,13,17043
17,15,17161
17,16,17073
17,17,17011
17,18,17155
17,19,17099
17,20,17093
17,21,17063
17,23,17091
17,24,17131
17,25,17071
17,26,17187
17,27,17095
17,28,17175
17,29,17143
17,30,17123
17,31,17203
17,32,17105
17,33,17075
17,34,17067
17,35,17109
17,36,17057
17,37,17179
17,38,17113
17,39,17053
17,40,17169
17,41,17125
17,42,17107
17,43,17039
17,44,17147
17,45,17019
17,46,17183
17,47,17017
17,48,17129
17,49,17171
17,50,17137
17,51,17167
17,52,17021
17,53,17115
17,54,17139
17,55,17041
17,56,17029
17,57,17045
17,58,17061
17,59,17117
17,60,17135
17,61,17173
17,62,17035
17,63,17023
17,64,17005
17,65,17051
17,66,17049
17,67,17079
17,68,17033
17,69,17027
17,70,17121
17,71,17025
17,72,17159
17,73,17101
17,74,17189
17,75,17081
17,76,17191
17,77,17047
17,78,17185
17,79,17157
17,80,17145
17,81,17055
17,82,17065
17,83,17193
17,84,17077
17,85,17199
17,86,17165
17,87,17059
17,88,17181
17,89,17087
17,90,17151
17,91,17069
17,92,17003
17,93,17153
17,94,17127
17,95,17001
17,96,17009
17,97,17149
17,98,17013
17,99,17083
17,100,17119
17,101,17163
17,102,17133
17,103,17031
17,104,17031
17,105,17031
17,106,17197
17,107,17197
17,108,17197
18,1,18089
18,2,18127
18,3,18091
18,4,18141
18,5,18039
18,6,18087
18,7,18151
18,8,18113
18,9,18033
18,10,18111
18,11,18073
18,12,18149
18,13,18131
18,14,18099
18,15,18049
18,16,18085
18,17,18183
18,18,18003
18,19,18007
18,20,18181
18,21,18015
18,22,18017
18,23,18103
18,24,18169
18,25,18069
18,26,18179
18,27,18001
18,28,18171
18,29,18157
18,30,18023
18,31,18067
18,32,18053
18,33,18009
18,34,18075
18,35,18045
18,36,18107
18,37,18011
18,38,18159
18,39,18057
18,40,18095
18,41,18035
18,42,18135
18,43,18165
18,44,18121
18,45,18133
18,46,18063
18,47,18097
18,48,18059
18,49,18065
18,50,18177
18,51,18167
18,52,18021
18,53,18119
18,54,18109
18,55,18081
18,56,18145
18,57,18139
18,58,18041
18,59,18161
18,60,18153
18,61,18055
18,62,18105
18,63,18013
18,64,18005
18,65,18031
18,66,18047
18,67,18083
18,68,18027
18,69,18101
18,70,18093
18,71,18071
18,72,18079
18,73,18137
18,74,18029
18,75,18115
18,76,18117
18,77,18175
18,78,18143
18,79,18077
18,80,18155
18,81,18051
18,82,18125
18,83,18037
18,84,18025
18,85,18129
18,86,18163
18,87,18173
18,88,18147
18,89,18123
18,90,18061
18,91,18043
18,92,18019
20,1,20023
20,2,20153
20,3,20039
20,4,20137
20,5,20147
20,6,20183
20,7,20089
20,8,20157
20,9,20201
20,10,20117
20,11,20131
20,12,20013
20,13,20181
20,14,20193
20,15,20179
20,16,20065
20,17,20163
20,18,20141
20,19,20123
20,20,20029
20,21,20027
20,22,20161
20,23,20149
20,24,20085
20,25,20005
20,26,20087
20,27,20199
20,28,20109
20,29,20063
20,30,20195
20,31,20051
20,32,20167
20,33,20105
20,34,20143
20,35,20041
20,36,20061
20,37,20127
20,38,20197
20,39,20177
20,40,20045
20,41,20071
20,42,20203
20,43,20171
20,44,20101
20,45,20135
20,46,20165
20,47,20009
20,48,20053
20,49,20169
20,50,20159
20,51,20113
20,52,20115
20,53,20017
20,54,20111
20,55,20139
20,56,20059
20,57,20121
20,58,20031
20,59,20003
20,60,20107
20,61,20075
20,62,20093
20,63,20055
20,64,20083
20,65,20145
20,66,20185
20,67,20155
20,68,20079
20,69,20015
20,70,20073
20,71,20207
20,72,20001
20,73,20011
20,74,20187
20,75,20067
20,76,20081
20,77,20069
20,78,20057
20,79,20047
20,80,20097
20,81,20151
20,82,20095
20,83,20173
20,84,20129
20,85,20189
20,86,20175
20,87,20119
20,88,20025
20,89,20033
20,90,20007
20,91,20077
20,92,20191
20,93,20035
20,94,20049
20,95,20205
20,96,20133
20,97,20037
20,98,20019
20,99,20125
20,100,20099
20,101,20021
20,102,20043
20,103,20103
20,104,20209
20,105,20091
21,1,21075
21,2,21105
21,3,21039
21,4,21007
21,5,21145
21,6,21083
21,7,21139
21,8,21157
21,9,21035
21,10,21055
21,11,21143
21,12,21221
21,13,21033
21,14,21225
21,15,21233
21,16,21107
21,17,21047
21,18,21101
21,19,21059
21,20,21149
21,21,21177
21,22,21219
21,23,21091
21,24,21027
21,25,21163
21,26,21183
21,27,21085
21,28,21093
21,29,21029
21,30,21111
21,31,21185
21,32,21223
21,33,21103
21,34,21211
21,35,21073
21,36,21209
21,37,21097
21,38,21215
21,39,21005
21,40,21239
21,41,21067
21,42,21017
21,43,21181
21,44,21069
21,45,21179
21,46,21229
21,47,21167
21,48,21113
21,49,21049
21,50,21173
21,51,21011
21,52,21205
21,53,21123
21,54,21155
21,55,21021
21,56,21079
21,57,21151
21,58,21065
21,59,21197
21,60,21165
21,61,21031
21,62,21061
21,63,21099
21,64,21087
21,65,21217
21,66,21045
21,67,21137
21,68,21203
21,69,21109
21,70,21141
21,71,21227
21,72,21213
21,73,21003
21,74,21009
21,75,21171
21,76,21169
21,77,21001
21,78,21207
21,79,21199
21,80,21125
21,81,21057
21,82,21053
21,83,21231
21,84,21147
21,85,21235
21,86,21121
21,87,21013
21,88,21095
21,89,21041
21,90,21077
21,91,21015
21,92,21117
21,93,21037
21,94,21187
21,95,21081
21,96,21191
21,97,21023
21,98,21201
21,99,21161
21,100,21135
21,101,21089
21,102,21043
21,103,21019
21,104,21063
21,105,21127
21,106,21175
21,107,21115
21,108,21237
21,109,21153
21,110,21071
21,111,21129
21,112,21025
21,113,21119
21,114,21189
21,115,21193
21,116,21051
21,117,21131
21,118,21133
21,119,21159
21,120,21195
22,1,22017
22,2,22015
22,3,22119
22,4,22027
22,5,22061
22,6,22111
22,7,22067
22,8,22123
22,9,22035
